"Identyfikator posta","Identyfikator strony","Nazwa strony",Tytuł,Opis,"Czas trwania (s)","Czas publikacji","Typ napisu","Link bezpośredni","Jest crosspostem","Jest udostępniony","Typ posta",Języki,"Etykiety niestandardowe","Status materiałów sponsorowanych","Komentarz dotyczący danych",Data,Wyświetlenia,"60-sekundowe wyświetlenia filmu","3-sekundowe wyświetlenia filmu","Całkowita liczba kliknięć","Kliknięcia linku","Inne kliknięcia","Liczba wyświetleń zdjęcia","Średni czas spędzany w artykule","Dzienna głębokość przewijania artykułu","Liczba odbiorców",Aktywności,Udostępnienia,Polubienia,Komentarze,"CPM reklamy (USD)","Wyświetlenia reklamy","Wyświetlone Sekundy","Średnie wyświetlenie – Sekundy","Szacowane dochody (USD)"
122129572292163851,202568946272592,GreenO2,,"Why is it worth it⁉️
Green roofs can be utilized as spaces for physical activities such as jogging, yoga, or picnics, which can encourage students and staff to adopt an active lifestyle🏃‍♂️🏃‍♀️",0,"03/12/2024 07:03",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid03v4P2NCMQudrZBKTQ3shbBKSijqvsxXRjAk1jbrex6qBf7YB2n2oMQrF1ZixB9arl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",32,0,0,0,,,,0,0,23,6,0,6,0,,,,,
122129571422163851,202568946272592,GreenO2,,"Why is it worth it⁉️
Buildings with green roofs can be perceived as more attractive on the real estate market, which can increase their value and attract potential buyers or tenants🏡⬅️",0,"03/11/2024 07:03",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02kfURPqsnzDtypZPPcXwnZvS2kZAPjBkMjcFkbnCHeKCvT5NLisHAXu5rTznzgU6cl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",34,0,0,0,,,,0,0,27,7,0,6,1,,,,,
122129570618163851,202568946272592,GreenO2,,"Why is it worth it ⁉️
The construction and maintenance of green roofs can be a community project that integrates the university community and strengthens social bonds among students, staff, and the local community 🙆‍♀️🙋‍♂️",0,"03/10/2024 07:03",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02zYF3HJX296crtysvvo7TtcMWrpa92558snvqnnQ72cXjbfHYuBxnKz5oWB9ZmVJcl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",34,0,0,0,,,,0,0,26,7,0,7,0,,,,,
122129427668163851,202568946272592,GreenO2,,"Why is it worth it⁉️
The presence of green roofs can contribute to improving the mental health of students and staff by creating a pleasant and relaxing environment that promotes tranquility and reduces stress 😌🌳🌲",0,"03/09/2024 06:03",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0PijKvnrnASydRzk26ejYvpeXGTkw9Cgz9C2rvokBKML67WrRKcWNp3p2vrBzvyg4l&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",32,0,0,0,,,,0,0,27,6,0,6,0,,,,,
122129427008163851,202568946272592,GreenO2,,"Why is it worth it⁉️
Green roofs can serve as research facilities for scientists, allowing the study of the impact of vegetation on the environment, the water cycle, and other ecological processes 🛖👩‍🔬",0,"03/08/2024 06:03",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02wQjd4U9bBy52MN4BoLHxNiNixjCDtJVLTNjheFJYB5S24w634b7p8xvpFYNCKDuwl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",30,0,0,0,,,,0,0,23,5,0,5,0,,,,,
122130091034163851,202568946272592,GreenO2,,"TYPES OF GARDENS ON ROOFS
The main types of roof gardens, by form of use, include intensive and extensive gardens. Intensive use rooftop gardens are areas that have been designed for intensive human use, much like traditional gardens at ground level. These gardens can be an attractive alternative to traditional gardens, especially in urban areas where green space is limited. Extensive-use rooftop gardens, on the other hand, are designed not to be used intensively by people. These are gardens that are typically designed for viewing rather than for use as recreational or leisure space. These gardens are designed to be easy to maintain and provide environmental benefits, while not being designed for intensive human use. In addition, there are other categories of rooftop gardens, such as mixed-use gardens, which combine elements of both intensive and extensive use of the space. Each type of roof garden has its own advantages and disadvantages, and choosing the right one depends on your preferences, budget, location and weather conditions.",0,"03/07/2024 10:03",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0d25ggEYyEgHQybofufWAimf4woQj9FESU5LjDjZULqVJfWxRwkKJthVChWvA2oEul&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",30,0,0,0,,,,0,0,23,5,0,5,0,,,,,
122129426210163851,202568946272592,GreenO2,,"Why is it worth it⁉️
The vegetation layer on green roofs can act as natural acoustic insulation, helping to reduce noise from the surroundings, which contributes to a better working and learning environment at the university 🛡️👂",0,"03/07/2024 06:03",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02ShVx4Bx5QnxeJvtXxanTrTZGck9KmZNWXMPCfXixzTntd9aV7KQ5AQMxSnmGALrFl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",34,0,0,0,,,,0,0,24,5,0,5,0,,,,,
122129425880163851,202568946272592,GreenO2,,"Why is it worth it ⁉️
Having green roofs on campus can be perceived as an action aligned with the principles of sustainable development, which can enhance the university's reputation within the local community and attract the attention of potential students and employees 🙆‍♀️🧑‍🎓",0,"03/06/2024 06:03",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02fJmdt21swFC9zEv3xh24qvRzJ5srHH7F9ZrURmBxCuti1HectgL3gdnqVNWbjdVUl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",42,0,0,1,,1,,0,0,31,7,0,7,0,,,,,
122129425580163851,202568946272592,GreenO2,,"Why is it worth it ⁉️
In the face of climate change, green roofs can be part of adaptive strategies, helping to mitigate the effects of extreme weather events such as extreme temperatures or storms⚡️🌨️",0,"03/05/2024 00:03",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0kutbPpQCxuQPHJzbVsjh8ku5KHPNhXBLDMM1a1scCgoSHHd31F5hA9PpXKMf7aNGl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",45,0,0,1,,,1,0,0,31,7,0,7,0,,,,,
122129374880163851,202568946272592,GreenO2,,"What is our mission?

The mission of GREENO2 is to lead the way in promoting sustainable practices within urban higher education institutions. Focused on the pivotal role of higher education in fostering sustainable development and addressing social issues, our primary objective is to address the pressing challenge of climate change. 

GREENO2 aims to achieve this by advocating for the incorporation of green roofs as hubs for research, participation, and environmental awareness.",0,"03/04/2024 09:03",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0u3twskN9Nn9rirvCk6qFj4UQJRDh5Qvtf7nH1KhLuxbTtYMDSBUrK1yijnugU8Q5l&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",27,0,0,0,,,,0,0,20,6,0,6,0,,,,,
122126696894163851,202568946272592,GreenO2,,"FUNCTIONS OF GREEN ROOFS
Green roofs in cities play an important role, bringing a number of benefits to the urban environment, the community and the buildings themselves. First and foremost, they improve air quality. Plants on green roofs absorb carbon dioxide (CO2) and other air pollutants, helping to improve the city's air quality. In addition, green roofs help mitigate the urban heat island effect by absorbing and reflecting solar radiation, which in turn contributes to lower temperatures within urban areas. Green roofs increase water retention. The substrate on green roofs absorbs rainwater, reducing the amount of precipitation that goes into urban drains. This also helps reduce the risk of urban flooding. Another function is natural thermal insulation, which reduces the loss of heat from buildings in winter and the heating of buildings in summer. In addition, the thermal insulation offered by green roofs can help reduce energy consumption for heating and cooling buildings, which in turn reduces greenhouse gas emissions. Undoubtedly, an additional advantage of green roofs is the aesthetics and general improvement of public spaces. They contribute to improving the aesthetics of urban landscapes. They can also be used as recreational spaces, rooftop gardens or meeting places for residents. In addition, plants on green roofs provide habitat for biodiversity, including insects, birds and other small organisms, supporting local biodiversity in the urban environment. The introduction of green roofs is part of sustainable urban development, promoting harmonious cooperation with the surrounding environment. Green roofs are therefore an important part of urban planning, contributing to the creation of more sustainable and environmentally friendly urban areas. Their various benefits are making them increasingly popular for construction projects around the world.
Katarzyna Szyszko (AKSiM)",0,"02/23/2024 02:02",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0328dm8m2MYRsBd2seXbSbXDT1LjQuSxmKgHQH1SSTYL2DJwEe6q2BBx15wQTQ5K65l&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",54,0,0,3,,3,,0,0,43,10,0,9,1,,,,,
122124940130163851,202568946272592,GreenO2,,"The strategic value of GREENO2 seamlessly aligns with the EU's 2021 Strategy on Climate Change Adaptation and the EU Biodiversity Strategy for 2030. Stemming from the profound belief that architecture can significantly shape the learning and behavioral processes, GREENO2 aspires to transform the educational context by promoting new teaching models through the integration of creative and sustainable learning environments.",0,"02/16/2024 06:02",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid09s43sMmJHvGofJV9X8HDoZ3FamXGcXf3P7d91YkX2Pv5yTjnhdPG68QWM4NStMR2l&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",52,0,0,1,,1,,0,0,36,6,0,6,0,,,,,
122123413682163851,202568946272592,GreenO2,,"Meet the participants!!!
The Taras Shevchenko National University of Kyiv is active for the implementation of various projects aimed at institutional, social and professional development,
https://knu.ua/en/",0,"02/10/2024 12:02",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0s1QMXrUg6aNz1nMbE1PeNGRZscpwD52fZVjxQQRtppSQ8nmSiwgqjv8uBoHFvhvyl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",60,0,0,1,,1,,0,0,43,6,0,6,0,,,,,
122123413310163851,202568946272592,GreenO2,,"Meet the participants!!!
The University of Cadiz (UCA) is a modern institution with 15 faculties spread across 4 university campuses.
https://www.uca.es/?lang=en/",0,"02/10/2024 12:02",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0JrK9RvkhEtnaAowVeoKatLTizJPJa1fc2oQWY58hy9xmbto9jYZnNRCEdoHGT1FJl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",59,0,0,6,1,4,1,0,0,45,8,0,8,0,,,,,
122123413028163851,202568946272592,GreenO2,,"Meet the participants!!!
Xenios Polis is an educational organization that caters to specific groups by providing training, educational materials, and awareness.
https://xeniospolis.gr/",0,"02/10/2024 12:02",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0168jzvhY6DjtGvQFFaPpn8KyAsaR1WoT3pF85gAsHk9XXfzDcyWVmp7a2QETuWZcl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",50,0,0,1,1,,,0,0,38,8,0,8,0,,,,,
122123412746163851,202568946272592,GreenO2,,"Meet the participants!!!
The Panteion University of Social and Political Sciences in Greece was founded in 1927 and has played a primary role in the social and economic development of the country.
https://www.panteion.gr/en/",0,"02/10/2024 12:02",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0XtV2Xxu7Rp26AXmSU59LvmJY9hicCXFmVbUETrQ4t8EUEkAEr7g514xZzUXjbpUhl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",47,0,0,0,,,,0,0,37,6,0,6,0,,,,,
122122336574163851,202568946272592,GreenO2,,"Meet the participants!!!
Lim Srl is a company that develop skills in the areas of research, monitoring, audiovisual production, and website creation.
https://limsrl.org/Lim",0,"02/06/2024 06:02",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0bT7JoQrhuWbkJbhQZszkXDzcnYTvsMZRcM2vQMvr2Vf7EZfBQwdRzWz2YdS3GpC5l&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",54,0,0,1,,1,,0,0,40,6,0,6,0,,,,,
122122336040163851,202568946272592,GreenO2,,"Meet the participants!!!
Gripen Europe is a research company established in Romania that develops collaborations with the aim of disseminating educational initiatives.
https://gripeneurope.eu/about/",0,"02/06/2024 06:02",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02QodkxJgoUNWUequ6WitqRX1PqngcQHSmFzk3p9YQka4ASnMoDJdTXvGt5vnkc9awl&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",52,0,0,2,1,1,,0,0,38,5,0,5,0,,,,,
122122335146163851,202568946272592,GreenO2,"Università degli Studi della Tuscia | Sito Ufficiale","Meet the participants!!!
The University of Tuscia, is a public university. Through the activities carried out by the Department of Agricultural and Forestry Sciences, played a leading role in constructing a green roofs,
https://www.unitus.it/",0,"02/06/2024 06:02",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0hqYsGrvEwAWt5PkRurMW3ra9x6aUX8Mr3EjMcsRtxh8exsbct8upju1tPUpzbZ4xl&id=61554915549564,0,0,Link,,,,,"Cały okres",48,0,0,0,,,,0,0,35,4,0,4,0,,,,,
122120495882163851,202568946272592,GreenO2,,"Greetings from volunteers from the Academy of Social and Media Culture in Toruń!! 🌳🌲🛖",9,"02/01/2024 00:02",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02FnX1KXWLajkkvi6Lmw3pzwEWbXMyHmMmNoUJEJmYGynQFmF1px7sQHDzZ2kHUttQl&id=61554915549564,0,0,Film,,,,,"Cały okres",72,0,62,4,,4,,0,0,39,11,0,11,0,0,0,1232.58,9.86,0
122118387212163851,202568946272592,GreenO2,,"GreenO2
Green Roofs in higher education institutions as sustainable cEnters for research, participation, ENvironmental consciousness and O2 generation
Our project is modern solutions to current problems!
Join!",0,"01/25/2024 07:01",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02YWXFPd4aMmGjuHtvtbhVnTqwXRJDyzG2DptrFCbXBGmYv5B5bzr61LR7fbtf8m27l&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",45,0,0,1,,1,,0,0,28,11,0,11,0,,,,,
122116690304163851,202568946272592,GreenO2,,🛖💚🌿🌱,0,"01/20/2024 01:01",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0AgzkvL6Mr3dmj1jcq5qenofwHmZgRf5AzgwRjLU8wZsFVrXhMQCq6RaFWpcQ74Dol&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",61,0,0,6,,5,1,0,0,32,13,0,13,0,,,,,
122108731082163851,202568946272592,GreenO2,,"GREENO2 - Green Roofs in higher education institutions as sustainable cEnters for research, participation, ENvironmental consciousness and O2 generation
1st Press Release
-November 2023-
Enjoy reading!",0,"01/04/2024 02:01",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0NcQVTRKXMYrmggDdCbt6AtEGdBaAiUpZ8FpzLCdoEeAqoL7JYJk3tnPDApptSxj6l&id=61554915549564,0,0,Zdjęcie,,,,,"Cały okres",74,0,0,7,,1,6,0,0,33,9,0,8,1,,,,,
